location,storeid
boynton-beach,283
apollo-beach,279
bonita-springs,282
bradenton,357
bradenton-75th-west,284
brandon,285
cape-coral,286
clearwater,287
clearwater-roosevelt,288
crystal-river,570
deltona,
deerfield,289
fort-myers-beach,292
ft-myers,290
fort-myers-cypress,291
fort-pierce,293
gainesville,294
haines-city,295
hobe-sound,296
hollywood,297
jax-beach,298
jacksonville,299
jacksonville-skymarks,300
key-west,302
lady-lake,303
lake-city,304
lakeland,305
longwood,306
lutz,307
marco-island,308
melbourne,380
merritt-island,309
miami-kendall,301
naranja,310
navarre,311
new-smyrna-beach,544
new-tampa,312
north-miami,314
north-miami-beach,313
north-port,315
ocala,316
okeechobee,379
orange-city,317
orange-park,318
orlando-colonial,319
orlando,320
orlando-vineland,321
ormond-beach,322
palatka,323
panama-city-beach,324
pensacola,325
port-charlotte,327
pinellas-park,326
port-orange,328
port-richey,329
port-st-lucie,330
sarasota,331
sarasota-main,332
satellite-beach,333
sebastian,334
sebring,335
shalimar,336
spring-hill,337
st-augustine,338
st-petersburg,339
stuart,340
tallahassee,341
tamarac,342
tampa,343
tampa-himes,344
tampa-west-kennedy,345
titusville,346
venice,347
wellington,348
west-melbourne,349
west-palm-okeechobee,351
west-palm-beach,350
winter-haven,352
auburndale,281
winter-springs,353
yulee,354
zephyrhills,355
